央视频道,#genre#
河北卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN0000000BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUaxEcGF7BsTm3tBZ5QM0A3THYCGyx0KiWnghgGHiPYyNBht0ohRxRP7wFZyAPWYATALvCqK4y6nrLdX80fn4
河南卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000044BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUd3JMPCgDefrKOVZLNt0QOuXozn3alq9%BUx7ZLGw9aOfw%Ftj8uByLI%F9b3T9xKHSKRmZDiwMOFotvfGaGd4Uw
四川卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN3840706BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUexeCsKxlGLwkJhai3bTGuXYXralHXVS7ob5to85GPdBSQnb6X4MP9N0MoC%FOefakVOC0E4dsoMVDkuWsho
重庆卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN3840707BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUexeCsKxlGLwkJhai3bTFVxa9Sup7dkPMGVMX%Byf7FdK%F47YrMnN4FTTQ%Blu6KCMf7MV7FmSuEDyoLe%Bvo
贵州卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN45663BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUdU0MzAxFlzyxwiiSP3V3o4YgTd85YleALR8HHnPHszLOKg6ts8oU5kayN74FbOAmnKUzeWh5%FkX5brvxw
海南卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN45684BESTVSMGSMG9/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUaBeOsoiQC4O7YVlhWLaUupjXkJIrEMFMFspHJh%FNRLi84Ue88x97wZoubXLeSwCFBwRVp8CkC%Foosdnmw
吉林卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000046BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUd3JMPCgDefrKOVZLNt0QOVSARKsxkWGZw7vFUuOjQqUR6TTs3uuC0Hmr3p6fRRazyiEPmSIyh%BRO%BU3q84
黑龙江卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN8356BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUXUvBVoIpV7IZ8uInlLPonswoDIwMxbrlyyVy9x6ZDKn9MTOKFsVhR5Pg7Vvrjf7Z0qxx5spaZs3xlZNl%FA5wE
江西卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN34689BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUXW3fsUwP9Bgt6tJshUHYl6RFrn%FfItZOLbXLG9CvVKOn3P%BbRKDON3XQgpczePDS4wR7j8ZW%BKTcTUdq9I
广西卫视,http://[409:8087:4c0a::::]:640/70000005/UmaiCHAN5000045BESTVSMGSMG/index.m3u8?AuthInfo=9kOOdBn7MFF%FbWjKgahUd3JMPCgDefrKOVZLNt0QPdo%FUL80msfbYvoWpNl3Ui3SDbjEyrngRN3z0PFPHWA%BXaedl3%F3flCrB%Fqh7fg
